symbol,date,time,Open,High,Low,Close,Volume
SBIN,2025-07-17,03:45:00,836.5999755859375,842.4500122070312,828.3499755859375,835.6500244140625,10427453
SBIN,2025-07-17,04:45:00,835.75,839.4000244140625,835.2999877929688,837.6500244140625,2537653
SBIN,2025-07-17,05:45:00,837.6500244140625,837.6500244140625,833.0499877929688,833.7000122070312,2014104
SBIN,2025-07-17,06:45:00,833.5999755859375,834.7999877929688,832.3499755859375,833.4000244140625,1492789
SBIN,2025-07-17,07:45:00,833.4500122070312,833.9000244140625,831.2999877929688,831.9500122070312,1529304
SBIN,2025-07-17,08:45:00,831.9500122070312,832.9500122070312,829.5,830.2000122070312,3178495
SBIN,2025-07-17,09:45:00,830.0999755859375,830.75,826.4000244140625,828.9500122070312,1887214
