instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
294665,1151,NIFTYM150MOMNTM50,NIFTYM150MOMNTM50,0,,0.0,0.0,0,EQ,INDICES,NSE
294921,1152,NIFTY TATA 25 CAP,NIFTY TATA 25 CAP,0,,0.0,0.0,0,EQ,INDICES,NSE
295177,1153,NIFTY MULTI MFG,NIFTY MULTI MFG,0,,0.0,0.0,0,EQ,INDICES,NSE
295433,1154,NIFTY MULTI INFRA,NIFTY MULTI INFRA,0,,0.0,0.0,0,EQ,INDICES,NSE
295689,1155,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,0,,0.0,0.0,0,EQ,INDICES,NSE
398345,1556,USCOMPOSITE,US COMPOSITE,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
398601,1557,US30,US 30,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
398857,1558,US100,US 100,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
399113,1559,SHANGHAICHINA,SHANGHAI CHINA,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
399369,1560,UK100,UK 100,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
399625,1561,HANGSENG,HANG SENG,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
399881,1562,AUS200,AUSTRALIA 200,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
400137,1563,FRANCE40,FRANCE 40,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
400393,1564,GERMANY40,GERMANY 40,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
400905,1566,JAPAN225,JAPAN 225,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
401161,1567,US500,US 500,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
401673,1569,US10YRYIELD,US 10 YEAR TREASURY YIELD,0,,0.0,0.0,0,EQ,INDICES,GLOBAL
401929,1570,SENSEX NEXT 30,SENSEX NEXT 30,0,,0.0,0.0,0,EQ,INDICES,BSE
402185,1571,BSE SME IPO,BSE SME IPO,0,,0.0,0.0,0,EQ,INDICES,BSE
402441,1572,BSE SERVICES,BSE SERVICES,0,,0.0,0.0,0,EQ,INDICES,BSE
402697,1573,FINANCIAL SERVICES,FINANCIAL SERVICES,0,,0.0,0.0,0,EQ,INDICES,BSE
402953,1574,BSE SENSEX SIXTY,BSE SENSEX SIXTY,0,,0.0,0.0,0,EQ,INDICES,BSE
403209,1575,BSE SENSEX SIXTY 65:35,BSE SENSEX SIXTY 65:35,0,,0.0,0.0,0,EQ,INDICES,BSE
403465,1576,BSE POWER & ENERGY,BSE POWER & ENERGY,0,,0.0,0.0,0,EQ,INDICES,BSE
403721,1577,BSE 200 EQUAL WEIGHT,BSE 200 EQUAL WEIGHT,0,,0.0,0.0,0,EQ,INDICES,BSE
403977,1578,BSE INTERNET ECONOMY,BSE INTERNET ECONOMY,0,,0.0,0.0,0,EQ,INDICES,BSE
404233,1579,BSE CAPITAL MKTS & INSURANCE,BSE CAPITAL MKTS & INSURANCE,0,,0.0,0.0,0,EQ,INDICES,BSE
404489,1580,BSE SELECT BUSINESS GROUPS,BSE SELECT BUSINESS GROUPS,0,,0.0,0.0,0,EQ,INDICES,BSE
404745,1581,NIFTY AQL 30,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,0,,0.0,0.0,0,EQ,INDICES,NSE
405001,1582,NIFTY AQLV 30,NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,0,,0.0,0.0,0,EQ,INDICES,NSE
405257,1583,NIFTY CORP MAATR,NIFTY INDIA SELECT 5 CORPORATE GROUPS,0,,0.0,0.0,0,EQ,INDICES,NSE
405513,1584,NIFTY EV,NIFTY EV & NEW AGE AUTOMOTIVE,0,,0.0,0.0,0,EQ,INDICES,NSE
405769,1585,NIFTY HIGHBETA 50,NIFTY HIGHBETA 50,0,,0.0,0.0,0,EQ,INDICES,NSE
406025,1586,NIFTY LOW VOL 50,NIFTY LOW VOLATILITY 50,0,,0.0,0.0,0,EQ,INDICES,NSE
406281,1587,NIFTY MOBILITY,NIFTY MOBILITY,0,,0.0,0.0,0,EQ,INDICES,NSE
406537,1588,NIFTY MULTI MQ 50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,0,,0.0,0.0,0,EQ,INDICES,NSE
406793,1589,NIFTY NEW CONSUMP,NIFTY INDIA NEW AGE CONSUMPTION,0,,0.0,0.0,0,EQ,INDICES,NSE
407049,1590,NIFTY QLTY LV 30,NIFTY QUALITY LOW VOLATILITY 30,0,,0.0,0.0,0,EQ,INDICES,NSE
407305,1591,NIFTY SML250 Q50,NIFTY SMALLCAP250 QUALITY 50,0,,0.0,0.0,0,EQ,INDICES,NSE
407561,1592,NIFTY TOP 10 EW,NIFTY TOP 10 EQUAL WEIGHT,0,,0.0,0.0,0,EQ,INDICES,NSE
407817,1593,NIFTY TOP 15 EW,NIFTY TOP 15 EQUAL WEIGHT,0,,0.0,0.0,0,EQ,INDICES,NSE
408073,1594,NIFTY TOP 20 EW,NIFTY TOP 20 EQUAL WEIGHT,0,,0.0,0.0,0,EQ,INDICES,NSE
408329,1595,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,0,,0.0,0.0,0,EQ,INDICES,NSE
408585,1596,NIFTY100 ENH ESG,NIFTY100 ENHANCED ESG,0,,0.0,0.0,0,EQ,INDICES,NSE
408841,1597,NIFTY200 VALUE 30,NIFTY200 VALUE 30,0,,0.0,0.0,0,EQ,INDICES,NSE
409097,1598,NIFTY500 EW,NIFTY500 EQUAL WEIGHT,0,,0.0,0.0,0,EQ,INDICES,NSE
409353,1599,NIFTY500 VALUE 50,NIFTY500 VALUE 50,0,,0.0,0.0,0,EQ,INDICES,NSE
409609,1600,NIFTY500MOMENTM50,NIFTY500 MOMENTUM 50,0,,0.0,0.0,0,EQ,INDICES,NSE
409865,1601,NIFTYMS400 MQ 100,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,0,,0.0,0.0,0,EQ,INDICES,NSE
410121,1602,NIFTYSML250MQ 100,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,0,,0.0,0.0,0,EQ,INDICES,NSE
410377,1603,NIFTY COREHOUSING,NIFTY CORE HOUSING,0,,0.0,0.0,0,EQ,INDICES,NSE
410633,1604,NIFTY FINSEREXBNK,NIFTY FINANCIAL SERVICES,0,,0.0,0.0,0,EQ,INDICES,NSE
410889,1605,NIFTY HOUSING,NIFTY HOUSING,0,,0.0,0.0,0,EQ,INDICES,NSE
411145,1606,NIFTY IPO,NIFTY IPO,0,,0.0,0.0,0,EQ,INDICES,NSE
411401,1607,NIFTY MS FIN SERV,NIFTY MIDSMALL FINANCIAL SERVICES,0,,0.0,0.0,0,EQ,INDICES,NSE
411657,1608,NIFTY MS IND CONS,NIFTY MIDSMALL INDIA CONSUMPTION,0,,0.0,0.0,0,EQ,INDICES,NSE
411913,1609,NIFTY MS IT TELCM,NIFTY MIDSMALL IT & TELECOM,0,,0.0,0.0,0,EQ,INDICES,NSE
412169,1610,NIFTY NONCYC CONS,NIFTY NON-CYCLICAL CONSUMER,0,,0.0,0.0,0,EQ,INDICES,NSE
412425,1611,NIFTY RURAL,NIFTY RURAL,0,,0.0,0.0,0,EQ,INDICES,NSE
412681,1612,NIFTY SHARIAH 25,NIFTY SHARIAH 25,0,,0.0,0.0,0,EQ,INDICES,NSE
412937,1613,NIFTY TRANS LOGIS,NIFTY TRANSPORTATION & LOGISTICS,0,,0.0,0.0,0,EQ,INDICES,NSE
413193,1614,NIFTY50 SHARIAH,NIFTY50 SHARIAH,0,,0.0,0.0,0,EQ,INDICES,NSE
413449,1615,NIFTY500 LMS EQL,NIFTY500 LARGEMIDSMALL EQUAL CAP WEIGHTED,0,,0.0,0.0,0,EQ,INDICES,NSE
413705,1616,NIFTY500 SHARIAH,NIFTY500 SHARIAH,0,,0.0,0.0,0,EQ,INDICES,NSE
413961,1617,NIFTY IND DEFENCE,NIFTY INDIA DEFENCE,0,,0.0,0.0,0,EQ,INDICES,NSE
414217,1618,NIFTY IND TOURISM,NIFTY INDIA TOURISM,0,,0.0,0.0,0,EQ,INDICES,NSE
414473,1619,NIFTY CAPITAL MKT,NIFTY CAPITAL MARKETS,0,,0.0,0.0,0,EQ,INDICES,NSE
414729,1620,BSE1000,BSE 1000,0,,0.0,0.0,0,EQ,INDICES,BSE
414985,1621,BSE PSU BANK,BSE PSU BANK,0,,0.0,0.0,0,EQ,INDICES,BSE
